N,Bubble Sort (Tempo),Bubble Sort (Operacoes),Bubble Sort Otimizado (Tempo),Bubble Sort Otimizado (Operacoes),Insertion Sort (Tempo),Insertion Sort (Operacoes),Merge Sort (Tempo),Merge Sort (Operacoes),Quick Sort (Tempo),Quick Sort (Operacoes)
77000,9398,4445200292,9955,4445114801,725,1480815791,8,3621399,4,2203346
78000,9672,4567358551,10080,4567177650,751,1525475550,8,3673308,4,2190180
79000,9916,4682705190,10339,4682556405,771,1562323689,8,3725885,5,2348413
80000,10184,4796783525,10728,4796444449,784,1596903524,8,3778261,5,2326767
81000,10491,4922933239,10994,4922851833,805,1642554738,8,3829712,5,2596584
82000,10679,5043361697,11163,5043317444,830,1681484696,9,3881986,5,2405447
83000,10981,5168768756,11491,5168627510,843,1724393255,9,3933633,5,2421609
84000,11199,5295292002,11712,5295201902,863,1767418001,9,3986477,5,2698835
85000,11516,5417721273,12024,5417705342,885,1805348772,9,4038340,5,2622072
86000,11773,5546468311,12356,5546219446,912,1848597310,9,4090292,5,2576424
87000,12070,5678890874,12601,5678756971,926,1894521373,9,4142637,5,2452338
88000,12349,5812931127,12893,5812873157,957,1941063126,9,4194893,5,2552260
89000,12628,5948851633,13178,5948822953,975,1988485132,9,4247162,5,2606704
90000,12863,6072682382,13459,6072610751,991,2022817381,10,4299142,5,2638722
91000,13186,6204533073,13777,6204500177,1011,2064169572,10,4350530,13,2737462
92000,13454,6344242762,14102,6344174866,1041,2112380761,10,4403476,5,2645447
93000,13787,6485040462,14424,6485023809,1059,2160679961,10,4455168,5,2900416
94000,14053,6633983537,14735,6633948821,1087,2216124536,10,4507434,6,2833146
95000,14436,6766216181,15131,6765698528,1107,2253858680,10,4558549,6,2995833
96000,14686,6921762404,15382,6921491188,1134,2313906403,10,4610869,6,2886469
97000,15058,7048377398,15778,7048357697,1150,2344022897,11,4662723,6,2899607
98000,15377,7210155647,16099,7209988894,1181,2408302646,11,4714452,6,2865192
99000,15649,7353720808,16340,7353706102,1207,2453369307,11,4766293,6,2965873
100000,15909,7504424456,16665,7504238711,1229,2504574455,11,4818905,6,3115547
101000,16309,7654884452,17055,7654870591,1260,2554535951,11,4872182,6,2959678
102000,16534,7810341474,17363,7810294503,1280,2608494473,11,4923718,6,3202582
103000,16962,7960414179,17839,7959951938,1298,2656068678,11,4976587,6,2996415
104000,17249,8104683357,18154,8104475667,1326,2696839356,11,5028262,6,3080631
